présent,1p.s.,je finis
présent,2p.s.,tu finis
présent,3p.s.,il/elle finit
présent,1p.p.,nous finissons
présent,2p.p.,vous finissez
présent,3p.p.,ils/elles finissent
imparfait,1p.s.,je finissais
imparfait,2p.s.,tu finissais
imparfait,3p.s.,il/elle finissait
imparfait,1p.p.,nous finissions
imparfait,2p.p.,vous finissiez
imparfait,3p.p.,ils/elles finissaient
futur simple,1p.s.,je finirai
futur simple,2p.s.,tu finiras
futur simple,3p.s.,il/elle finira
futur simple,1p.p.,nous finirons
futur simple,2p.p.,vous finirez
futur simple,3p.p.,ils/elles finiront
conditionnel présent,1p.s.,je finirais
conditionnel présent,2p.s.,tu finirais
conditionnel présent,3p.s.,il/elle finirait
conditionnel présent,1p.p.,nous finirions
conditionnel présent,2p.p.,vous finiriez
conditionnel présent,3p.p.,ils/elles finiraient
passé composé,1p.s.,j'ai fini
passé composé,2p.s.,tu as fini
passé composé,3p.s.,il/elle a fini
passé composé,1p.p.,nous avons fini
passé composé,2p.p.,vous avez fini
passé composé,3p.p.,ils/elles ont fini
plus-que-parfait,1p.s.,j'avais fini
plus-que-parfait,2p.s.,tu avais fini
plus-que-parfait,3p.s.,il/elle avait fini
plus-que-parfait,1p.p.,nous avions fini
plus-que-parfait,2p.p.,vous aviez fini
plus-que-parfait,3p.p.,ils/elles avaient fini
futur antérieur,1p.s.,j'aurai fini
futur antérieur,2p.s.,tu auras fini
futur antérieur,3p.s.,il/elle aura fini
futur antérieur,1p.p.,nous aurons fini
futur antérieur,2p.p.,vous aurez fini.
futur antérieur,3p.p.,ils/elles auront fini
conditionnel passé,1p.s.,j'aurais fini
conditionnel passé,2p.s.,tu aurais fini
conditionnel passé,3p.s.,il/elle aurait fini
conditionnel passé,1p.p.,nous aurions fini
conditionnel passé,2p.p.,vous auriez fini
conditionnel passé,3p.p.,ils/elles auraient fini
passé simple,1p.s.,je finis
passé simple,2p.s.,tu finis
passé simple,3p.s.,il/elle finit
passé simple,1p.p.,nous finimes
passé simple,2p.p.,vous finites
passé simple,3p.p.,ils/elles finirent
passé antérieur,1p.s.,j'eus fini
passé antérieur,2p.s.,tu eus fini
passé antérieur,3p.s.,il/elle eut fini
passé antérieur,1p.p.,nous eûmes fini
passé antérieur,2p.p.,vous eûtes fini
passé antérieur,3p.p.,ils/elles eurent fini
subjonctif présent,1p.s.,que je finisse
subjonctif présent,2p.s.,que tu finisses
subjonctif présent,3p.s.,qu'il/elle finisse
subjonctif présent,1p.p.,que nous finissions
subjonctif présent,2p.p.,que vous finissiez
subjonctif présent,3p.p.,qu'ils/elles finissent
subjonctif passé,1p.s.,que j'aie fini
subjonctif passé,2p.s.,que tu aies fini
subjonctif passé,3p.s.,qu'il/elle ait fini
subjonctif passé,1p.p.,que nous ayons fini
subjonctif passé,2p.p.,que vous ayez fini
subjonctif passé,3p.p.,qu'ils/elles aient fini
impératif présent,2p.s.,finis
impératif présent,1p.p.,finissons
impératif présent,2p.p.,finissez
impératif passé,2p.s.,aie fini
impératif passé,1p.p.,ayons fini
impératif passé,2p.p.,ayez fini
participe présent simple,,finissant
participe présent composé,,ayant fini
participe,,fini
